,path,original_transcript,noise_type,asr_transcript,translation
0,samples_with_noise_snr5/common_voice_uk_32857863_bus.wav,я чув і знав лиш одне,bus,я чув і знов лиш одне дома,I only heard one at home.
1,samples_with_noise_snr5/common_voice_uk_32857863_cafeteria.wav,я чув і знав лиш одне,cafeteria,я чи пізнав лиш не дає,I don't know if it's worth it.
2,samples_with_noise_snr5/common_voice_uk_32857863_car.wav,я чув і знав лиш одне,car,я чув і знав лиш одне,I heard and knew only one thing.
3,samples_with_noise_snr5/common_voice_uk_32857863_field.wav,я чув і знав лиш одне,field,я чув і знав лиш одне,I heard and knew only one thing.
4,samples_with_noise_snr5/common_voice_uk_32857863_hallway.wav,я чув і знав лиш одне,hallway,я чув і знов лише не,I heard it and not again.
5,samples_with_noise_snr5/common_voice_uk_32857863_kitchen.wav,я чув і знав лиш одне,kitchen,я чув і знов лусне,I've heard it and I've heard it again.
6,samples_with_noise_snr5/common_voice_uk_32857863_living.wav,я чув і знав лиш одне,living,я чув і знов лиш одна,I heard it again and only one.
7,samples_with_noise_snr5/common_voice_uk_32857863_meeting.wav,я чув і знав лиш одне,meeting,а собачі віз на лишенеавудвос лиш,A dog's visa for the freewoodvos only
8,samples_with_noise_snr5/common_voice_uk_32857863_metro.wav,я чув і знав лиш одне,metro,я чув і знав лиш одне,I heard and knew only one thing.
9,samples_with_noise_snr5/common_voice_uk_32857863_office.wav,я чув і знав лиш одне,office,я чув і знов лиш одне,I heard one thing again.
10,samples_with_noise_snr5/common_voice_uk_32857863_park.wav,я чув і знав лиш одне,park,я чув і знав лише не,I heard and I just didn’t know.
11,samples_with_noise_snr5/common_voice_uk_32857863_resto.wav,я чув і знав лиш одне,resto,дячувізнагло жона,UncleNaughty Wife
12,samples_with_noise_snr5/common_voice_uk_32857863_river.wav,я чув і знав лиш одне,river,я чув і знав лиш одне,I heard and knew only one thing.
13,samples_with_noise_snr5/common_voice_uk_32857863_square.wav,я чув і знав лиш одне,square,я чув і знов лиш одне,I heard one thing again.
14,samples_with_noise_snr5/common_voice_uk_32857863_station.wav,я чув і знав лиш одне,station,я чув і знов лиш одне,I heard one thing again.
15,samples_with_noise_snr5/common_voice_uk_32857863_traffic.wav,я чув і знав лиш одне,traffic,я чув і знав лиш одне,I heard and knew only one thing.
16,samples_with_noise_snr5/common_voice_uk_32857863_washing.wav,я чув і знав лиш одне,washing,я чув і знав лиш одне,I heard and knew only one thing.
17,samples_with_noise_snr5/common_voice_uk_32327955_bus.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,bus,войстабдивується й небо вірно вона але му зовсім він не був по доби,"The sky is falling and it is true, but he was not at all for a day."
18,samples_with_noise_snr5/common_voice_uk_32327955_cafeteria.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,cafeteria,бо подивиться не вірно але на зовсім він не був та аби,"For he will not look right, but he was not at all."
19,samples_with_noise_snr5/common_voice_uk_32327955_car.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,car,бойко дивується і ними вірником а ломи зовсім він не був по доби,"He was surprised and faithful to them, and loma, he was not at all for a day."
20,samples_with_noise_snr5/common_voice_uk_32327955_field.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,field,бойко дивують ся і ними вірні конем але мо зовсім він не був по доби,"They are surprised and loyal to the horse, but he was not at all for a day."
21,samples_with_noise_snr5/common_voice_uk_32327955_hallway.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,hallway,бойко дивується і ними вірно вони а вимозовсім він не був по доби,"They are surprised and they are right, and he was not out of the day."
22,samples_with_noise_snr5/common_voice_uk_32327955_kitchen.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,kitchen,бо й та дивує вся і нині конем алемозовсім він не був по доби,because it is surprising all and now the horse is alemosovsim he was not up to the day
23,samples_with_noise_snr5/common_voice_uk_32327955_living.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,living,вода дивує самі вінком але морозом він не битабаба,water surprises itself with a wreath but with frost it is not bitababa
24,samples_with_noise_snr5/common_voice_uk_32327955_meeting.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,meeting,але тренуються ними вінком але зовсім він не досадобовені знали коза а,but they train with a wreath but he did not know the goat at all
25,samples_with_noise_snr5/common_voice_uk_32327955_metro.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,metro,весь та дивується і ними вірнком але мо зовсім він не був по доби,"all and wonder and they are faithful, but mo at all he was not for a day"
26,samples_with_noise_snr5/common_voice_uk_32327955_office.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,office,бойко дивують ся і ними вірні тон але мо зовсім він не був подоби,Boyko surprised and they are true tone but mo at all he was not like
27,samples_with_noise_snr5/common_voice_uk_32327955_park.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,park,але то дивуюся не у він вона але не досі він не було добре ліниві і діда,but then I wonder not at he she but not yet he was not well lazy and grandfather
28,samples_with_noise_snr5/common_voice_uk_32327955_resto.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,resto,ось добивається невірна але не досі він не по аби,"He's wrong, but he's not wrong."
29,samples_with_noise_snr5/common_voice_uk_32327955_river.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,river,бойко дивується й ними вірні том але мо зовсім він не був по доби,"Tom is surprised and loyal to them, but he was not at all up to the day."
30,samples_with_noise_snr5/common_voice_uk_32327955_square.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,square,вода дивується і неймовірний вона але ми зовсім він не боподоби,water is amazing and incredible it is but we are not divine at all
31,samples_with_noise_snr5/common_voice_uk_32327955_station.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,station,бойко дивують сей ми вінком але не зовсім він не по по доби,"We are surprised by this wreath, but it is not quite on the day."
32,samples_with_noise_snr5/common_voice_uk_32327955_traffic.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,traffic,бойко дивуюся й немовірни воно а омазовсім вінниповадоб,I'm amazed and incredible it's an omazovom vinnipadob
33,samples_with_noise_snr5/common_voice_uk_32327955_washing.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,washing,бойко дивується й ними вірний тон але мо зовсім він не був по доби,"I'm surprised and they have the right tone, but he wasn't there at all."
34,samples_with_noise_snr5/common_voice_uk_29194547_bus.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,bus,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
35,samples_with_noise_snr5/common_voice_uk_29194547_cafeteria.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,cafeteria,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
36,samples_with_noise_snr5/common_voice_uk_29194547_car.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,car,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
37,samples_with_noise_snr5/common_voice_uk_29194547_field.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,field,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
38,samples_with_noise_snr5/common_voice_uk_29194547_hallway.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,hallway,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
39,samples_with_noise_snr5/common_voice_uk_29194547_kitchen.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,kitchen,камрад покірно ліс і поклавши голову на лапи зітхнув,marrad meekly forest and putting his head on his paws sighed
