,path,original_transcript,noise_type,asr_transcript,translation,wer,cer,mer,wip
0,samples_with_noise_snr5/common_voice_uk_32857863_bus.wav,я чув і знав лиш одне,bus,я чув і знов лиш одне дома,I only heard one at home.,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.5952380952380952
1,samples_with_noise_snr5/common_voice_uk_32857863_cafeteria.wav,я чув і знав лиш одне,cafeteria,я чи пізнав лиш не дає,I don't know if it's worth it.,0.8333333333333334,0.42857142857142855,0.8333333333333334,0.027777777777777776
2,samples_with_noise_snr5/common_voice_uk_32857863_car.wav,я чув і знав лиш одне,car,я чув і знав лиш одне,I heard and knew only one thing.,0.0,0.0,0.0,1.0
3,samples_with_noise_snr5/common_voice_uk_32857863_field.wav,я чув і знав лиш одне,field,я чув і знав лиш одне,I heard and knew only one thing.,0.0,0.0,0.0,1.0
4,samples_with_noise_snr5/common_voice_uk_32857863_hallway.wav,я чув і знав лиш одне,hallway,я чув і знов лише не,I heard it and not again.,0.5,0.19047619047619047,0.5,0.25
5,samples_with_noise_snr5/common_voice_uk_32857863_kitchen.wav,я чув і знав лиш одне,kitchen,я чув і знов лусне,I've heard it and I've heard it again.,0.5,0.2857142857142857,0.5,0.3
6,samples_with_noise_snr5/common_voice_uk_32857863_living.wav,я чув і знав лиш одне,living,я чув і знов лиш одна,I heard it again and only one.,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.4444444444444444
7,samples_with_noise_snr5/common_voice_uk_32857863_meeting.wav,я чув і знав лиш одне,meeting,а собачі віз на лишенеавудвос лиш,A dog's visa for the freewoodvos only,1.0,1.0952380952380953,0.8571428571428571,0.027777777777777776
8,samples_with_noise_snr5/common_voice_uk_32857863_metro.wav,я чув і знав лиш одне,metro,я чув і знав лиш одне,I heard and knew only one thing.,0.0,0.0,0.0,1.0
9,samples_with_noise_snr5/common_voice_uk_32857863_office.wav,я чув і знав лиш одне,office,я чув і знов лиш одне,I heard one thing again.,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.6944444444444445
10,samples_with_noise_snr5/common_voice_uk_32857863_park.wav,я чув і знав лиш одне,park,я чув і знав лише не,I heard and I just didn’t know.,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.4444444444444444
11,samples_with_noise_snr5/common_voice_uk_32857863_resto.wav,я чув і знав лиш одне,resto,дячувізнагло жона,UncleNaughty Wife,1.0,0.5238095238095238,1.0,0.0
12,samples_with_noise_snr5/common_voice_uk_32857863_river.wav,я чув і знав лиш одне,river,я чув і знав лиш одне,I heard and knew only one thing.,0.0,0.0,0.0,1.0
13,samples_with_noise_snr5/common_voice_uk_32857863_square.wav,я чув і знав лиш одне,square,я чув і знов лиш одне,I heard one thing again.,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.6944444444444445
14,samples_with_noise_snr5/common_voice_uk_32857863_station.wav,я чув і знав лиш одне,station,я чув і знов лиш одне,I heard one thing again.,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.6944444444444445
15,samples_with_noise_snr5/common_voice_uk_32857863_traffic.wav,я чув і знав лиш одне,traffic,я чув і знав лиш одне,I heard and knew only one thing.,0.0,0.0,0.0,1.0
16,samples_with_noise_snr5/common_voice_uk_32857863_washing.wav,я чув і знав лиш одне,washing,я чув і знав лиш одне,I heard and knew only one thing.,0.0,0.0,0.0,1.0
17,samples_with_noise_snr5/common_voice_uk_32327955_bus.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,bus,войстабдивується й небо вірно вона але му зовсім він не був по доби,"The sky is falling and it is true, but he was not at all for a day.",0.75,0.35384615384615387,0.6923076923076923,0.10256410256410256
18,samples_with_noise_snr5/common_voice_uk_32327955_cafeteria.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,cafeteria,бо подивиться не вірно але на зовсім він не був та аби,"For he will not look right, but he was not at all.",0.75,0.46153846153846156,0.6923076923076923,0.1111111111111111
19,samples_with_noise_snr5/common_voice_uk_32327955_car.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,car,бойко дивується і ними вірником а ломи зовсім він не був по доби,"He was surprised and faithful to them, and loma, he was not at all for a day.",0.8333333333333334,0.36923076923076925,0.7692307692307693,0.057692307692307696
20,samples_with_noise_snr5/common_voice_uk_32327955_field.wav,бойка дивує цей неймовірний тон але йому зовсім він не до вподоби,field,бойко дивують ся і ними вірні конем але мо зовсім він не був по доби,"They are surprised and loyal to the horse, but he was not at all for a day.",0.9166666666666666,0.38461538461538464,0.7333333333333333,0.08888888888888888
