"тис розпитав як дотуду їхати" "ти с розпитав як дотуду їхати"
"в поході брали участь князі андрій і олександр так званий невський" "у поході брали участь князі андрій і олександер так званий невський"
"чого ради" "чого ради"
"а петрос погрецькому є камінь а вітця твого" "а петроспогрецькому є камінь а вітця твого"
"годечан узяв піхво й поволі засилив меч назад" "годечан узяв піхво й поволі засилив меч назад"
"розумний єси кітці хвоста завязати" "розумний єси кітці хвоста завязати"
"ходь ближчій махнув до нього маленький старчик у довгій непідперезаній сорочці" "хоть ближчіймахнув до нього маленький старчик у довгій непідперезаній сорочці"
"жону перепитав орест але гатило повторювати не любив" "жону перепитав орест але гатило повторювати не любив"
"зайдь княже до господи" "зайдь княже до господи"
"я єсмь великий княже" "я єсмь великий княже"
"то ти скіф єси" "то ти скіф єси"
"лізь речу заквапив товариша людота бо за півгоні внизу чулося стримане крякання" "лізь речу заквапив товариша людота бо за півгоні не з у чулося стримане крякання"
"дід покрутив підкову з усіх боків" "дід покрутив підкову з усіх боків"
"вишата розгублено мовив одне слово" "вишата розгублено мовив одне слово"
"гримільда перебила його" "гримільда перебила його"
"після трисідмичника що відбувсь у двадцять перший день старці оголосили" "після трисідмичника що відбувсь у двадцять перший день старці оголосили"
"так є га" "так є га"
"та се замикалась одна зпоміж служниць і поквапилася прибрати таріль" "та се замикалась одна з поміж служниць і поквапилася прибрати таріль"
"хотів бим ректи та не відаю як бисте подивилися на тоте" "хотів бим ректи та не відаю як би сте подивилися на то те"
войславе войславе
"там погано княже" "там погано княже"
"се велить покон скіфів" "се велить покон скіфів"
"а грати підеш зі мною сьогодні купала" "а грати підеш зі мною сьогодні купала"
"одну здивувалася полонянка" "одну здивувалася полонянка"
"піди гукни" "піди гукни"
"шумило жиє" "шумило жиє"
"й нарештітаки зловчився поставити ногу на стремено та людота вхопив коня за вузду" "й нарешті таки зловчився поставити ногу на стременота людота вхопив коня за вузду"
"лев заходився допитуватись" "лев заходився допитуватись"
"та куди ти заждино не лякайсь" "та куди ти заждино не лякайсь"
"коли великий князь київський не захоче то ніхто не зможе вмовити його" "коли великий князь київський не захоче то ніхто не зможе вмовити його"
"годой сидів як неживий поганці знущалися з його віри" "годой сидів як не живий поганці знущалися з його віри"
"коли я повідаю тобі щось ти не говоритиймеш зо мною так" "коли я повідаю тобі щось ти не говорити ймеш зо мною так"
"візьми княже гатиле сей меч і вдар ним камінь дикий" "візьми княже гатиле сей меч і вдар ним камінь дикий"
