"тис розпитав як дотуду їхати" "ти с розпитав як дотуду їхати"
"в поході брали участь князі андрій і олександр так званий невський" "у поході брали участь князі андрій і олександер так званий невський"
"а петрос погрецькому є камінь а вітця твого" "а петроспогрецькому є камінь а вітця твого"
"ходь ближчій махнув до нього маленький старчик у довгій непідперезаній сорочці" "хоть ближчіймахнув до нього маленький старчик у довгій непідперезаній сорочці"
"лізь речу заквапив товариша людота бо за півгоні внизу чулося стримане крякання" "лізь речу заквапив товариша людота бо за півгоні не з у чулося стримане крякання"
"та се замикалась одна зпоміж служниць і поквапилася прибрати таріль" "та се замикалась одна з поміж служниць і поквапилася прибрати таріль"
"хотів бим ректи та не відаю як бисте подивилися на тоте" "хотів бим ректи та не відаю як би сте подивилися на то те"
"й нарештітаки зловчився поставити ногу на стремено та людота вхопив коня за вузду" "й нарешті таки зловчився поставити ногу на стременота людота вхопив коня за вузду"
"годой сидів як неживий поганці знущалися з його віри" "годой сидів як не живий поганці знущалися з його віри"
"коли я повідаю тобі щось ти не говоритиймеш зо мною так" "коли я повідаю тобі щось ти не говорити ймеш зо мною так"
"гано ліпше відає він ходив у тоті краї" "гано ліпше відає він ходив у тут і краї"
"тис великий князь витичівський" "ти с великий князь витичівський"
"але вкривши чорне волосся смушевим ковпаком він таки пішов сідлати коня тихо ворушачи губами" "але вкривши чорне волось смушевим ковпаком він таки пішов сідлати коня тихо ворушачи губами"
"по тому думка навернулася на старе ковач стоян порадив тоді сходити до старця славути" "по тому думка навернулася на старековач стоян порадив тоді сходити до старця славути"
"сватоплук знову порадився зі своїми мунжами й відповів" "сватоплук знову порадився зі своїми муншами й відповів"
"зодкуду знаєш порусинському" "зокуду знаєш по русинському"
"мабути се инчих тут городів не виджу мабути тото й єсть заград їхній" "мабутисе инчих тут городів не виджу мабутито то й єсть за град їхній"
"то речеш ні братті їй сестер устряв у розмову борислав" "то речеш ні братті їй сестерустряв розмову борислав"
"вречу хай прокудять тебе з двірця бичами" "в речу хай прокудять тебе з двірця бичами"
"дай княже я поцілую твої вуста впосліднє я люблю тебе" "дай княже я поцілую твої вуста в послідня я люблю тебе"
"хай тебе чорти стережуть якось байдуже висварив його рогволод а харя мурин відповів" "хай тебе чорти стережуть якось байдуже висварив його рогволод а харямурин відповів"
"іди йди підохотив його борислав має юну жонукнязівну хай іде йди" "іди йди підохотив його борислав має юну жону князівну хай йде йди"
